satellite ,lat,long,vitesse(m/s),hdop,course,alt,date,,,time,,,angle,intensit+//3//Q-
0,48.878696,1.898519,0.005144,99.989997,240.470001,INVALID,6,2,2025,16,6,43,38,38.42
0,48.878696,1.898519,0.005144,99.989997,240.470001,INVALID,6,2,2025,16,6,43,38,38.81
0,48.878704,1.898508,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,33,38,39.08
0,48.878704,1.898508,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,33,38,38.9
0,48.878704,1.898509,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,34,38,39.11
0,48.878704,1.898509,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,34,38,38.83
0,48.878704,1.898509,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,35,38,39.12
0,48.878704,1.898509,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,35,38,39.15
0,48.878707,1.898507,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,31,38,39.09
0,48.878707,1.898507,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,31,38,38.93
0,48.878711,1.898503,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,26,38,39.1
0,48.878711,1.898503,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,26,38,38.93
0,48.878711,1.898519,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,56,38,47.66
0,48.878711,1.898519,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,56,38,46.3
0,48.878715,1.898519,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,58,38,43.86
0,48.878715,1.898519,0.010289,99.989997,240.470001,INVALID,6,2,2025,16,6,58,38,37.55
0,48.878707,1.898508,0.015433,99.989997,240.470001,INVALID,6,2,2025,16,6,32,38,39.13
0,48.878707,1.898508,0.015433,99.989997,240.470001,INVALID,6,2,2025,16,6,32,38,38.87
0,48.878711,1.898504,0.015433,99.989997,240.470001,INVALID,6,2,2025,16,6,27,38,39.19
0,48.878711,1.898504,0.015433,99.989997,240.470001,INVALID,6,2,2025,16,6,27,38,38.86
0,48.878715,1.898501,0.015433,99.989997,240.470001,INVALID,6,2,2025,16,6,24,38,39.1
0,48.878715,1.898501,0.015433,99.989997,240.470001,INVALID,6,2,2025,16,6,24,38,38.93
0,48.878974,1.899522,0.015433,99.989997,335.579986,INVALID,6,2,2025,16,5,9,36,66.56
0,48.878974,1.899522,0.015433,99.989997,335.579986,INVALID,6,2,2025,16,5,9,36,66.56
0,48.878704,1.898509,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,36,38,39.27
0,48.878704,1.898509,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,36,38,38.64
0,48.878707,1.898505,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,29,38,39.27
0,48.878707,1.898505,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,29,38,39.02
0,48.878711,1.898502,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,25,38,39.05
0,48.878711,1.898502,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,25,38,38.83
0,48.878715,1.898501,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,23,38,39.04
0,48.878715,1.898501,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,23,38,38.85
0,48.878715,1.898519,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,57,38,49.9
0,48.878715,1.898519,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,57,38,46.21
0,48.878719,1.8985,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,20,38,38.97
0,48.878719,1.8985,0.020578,99.989997,240.470001,INVALID,6,2,2025,16,6,20,38,38.82
0,48.878696,1.898519,0.025722,99.989997,240.470001,INVALID,6,2,2025,16,6,48,38,41.08
